Animal,Symptom 1,Symptom 2,Symptom 3,Disease
buffalo,lameness,sores on hooves,loss of appetite,foot and mouth
buffalo,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
goat,loss of appetite,sores on gums,lameness,foot and mouth
sheep,loss of appetite,depression,painless lumps,lumpy virus
buffalo,painless lumps,loss of appetite,depression,lumpy virus
buffalo,loss of appetite,painless lumps,depression,lumpy virus
sheep,painless lumps,depression,loss of appetite,pneumonia
sheep,difficulty walking,loss of appetite,depression,blackleg
sheep,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,swelling in muscle,crackling sound,lameness,blackleg
cow,depression,painless lumps,loss of appetite,pneumonia
cow,loss of appetite,depression,painless lumps,lumpy virus
buffalo,chills,chest discomfort,fatigue,anthrax
buffalo,sweats,shortness of breath,fatigue,anthrax
goat,loss of appetite,depression,difficulty walking,blackleg
sheep,loss of appetite,depression,painless lumps,lumpy virus
cow,loss of appetite,painless lumps,depression,pneumonia
cow,depression,loss of appetite,crackling sound,blackleg
goat,lameness,sores on tongue,loss of appetite,foot and mouth
goat,loss of appetite,painless lumps,depression,lumpy virus
cow,depression,difficulty walking,loss of appetite,blackleg
sheep,swelling in limb,crackling sound,loss of appetite,blackleg
cow,painless lumps,loss of appetite,depression,pneumonia
sheep,loss of appetite,depression,painless lumps,pneumonia
sheep,painless lumps,depression,loss of appetite,lumpy virus
goat,painless lumps,loss of appetite,depression,lumpy virus
sheep,shortness of breath,chills,swelling in abdomen,anthrax
sheep,swelling in limb,loss of appetite,lameness,blackleg
buffalo,sores on gums,lameness,loss of appetite,foot and mouth
cow,chills,chest discomfort,fatigue,anthrax
sheep,chest discomfort,swelling in extremities,chills,anthrax
goat,chills,sweats,chest discomfort,anthrax
cow,fatigue,swelling in abdomen,sweats,anthrax
goat,lameness,crackling sound,depression,blackleg
cow,loss of appetite,sores on gums,lameness,foot and mouth
sheep,blisters on mouth,difficulty walking,loss of appetite,foot and mouth
goat,depression,loss of appetite,crackling sound,blackleg
goat,chills,sweats,shortness of breath,anthrax
cow,painless lumps,depression,loss of appetite,lumpy virus
sheep,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
cow,chest discomfort,fatigue,swelling in abdomen,anthrax
cow,sores on hooves,difficulty walking,loss of appetite,foot and mouth
buffalo,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,painless lumps,depression,loss of appetite,pneumonia
sheep,loss of appetite,sores on tongue,lameness,foot and mouth
cow,blisters on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,difficulty walking,depression,loss of appetite,blackleg
buffalo,painless lumps,loss of appetite,depression,pneumonia
sheep,difficulty walking,loss of appetite,sores on gums,foot and mouth
buffalo,loss of appetite,depression,painless lumps,pneumonia
sheep,sweats,chest discomfort,fatigue,anthrax
goat,fatigue,chills,shortness of breath,anthrax
buffalo,loss of appetite,painless lumps,depression,pneumonia
cow,loss of appetite,painless lumps,depression,lumpy virus
goat,sweats,swelling in extremities,chest discomfort,anthrax
cow,loss of appetite,lameness,swelling in limb,blackleg
sheep,loss of appetite,painless lumps,depression,lumpy virus
buffalo,loss of appetite,depression,painless lumps,lumpy virus
sheep,loss of appetite,lameness,swelling in limb,blackleg
goat,blisters on gums,loss of appetite,lameness,foot and mouth
goat,depression,loss of appetite,painless lumps,lumpy virus
goat,swelling in limb,loss of appetite,depression,blackleg
goat,sores on mouth,loss of appetite,difficulty walking,foot and mouth
buffalo,difficulty walking,depression,loss of appetite,blackleg
cow,difficulty walking,loss of appetite,sores on gums,foot and mouth
goat,crackling sound,swelling in muscle,lameness,blackleg
buffalo,sores on mouth,loss of appetite,lameness,foot and mouth
cow,swelling in limb,crackling sound,loss of appetite,blackleg
goat,shortness of breath,chills,sweats,anthrax
sheep,loss of appetite,lameness,blisters on hooves,foot and mouth
sheep,fatigue,chest discomfort,swelling in abdomen,anthrax
buffalo,lameness,blisters on gums,loss of appetite,foot and mouth
cow,difficulty walking,loss of appetite,depression,blackleg
buffalo,chest discomfort,swelling in neck,sweats,anthrax
buffalo,loss of appetite,lameness,blisters on mouth,foot and mouth
sheep,loss of appetite,difficulty walking,sores on tongue,foot and mouth
cow,crackling sound,swelling in limb,loss of appetite,blackleg
buffalo,difficulty walking,depression,crackling sound,blackleg
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,lameness,loss of appetite,blisters on tongue,foot and mouth
buffalo,sweats,shortness of breath,chills,anthrax
sheep,chills,chest discomfort,shortness of breath,anthrax
goat,depression,painless lumps,loss of appetite,pneumonia
goat,depression,swelling in muscle,crackling sound,blackleg
cow,painless lumps,loss of appetite,depression,pneumonia
buffalo,loss of appetite,difficulty walking,blisters on gums,foot and mouth
buffalo,difficulty walking,crackling sound,loss of appetite,blackleg
sheep,painless lumps,depression,loss of appetite,pneumonia
cow,chest discomfort,sweats,swelling in neck,anthrax
buffalo,painless lumps,depression,loss of appetite,pneumonia
sheep,depression,painless lumps,loss of appetite,lumpy virus
cow,swelling in limb,loss of appetite,depression,blackleg
goat,loss of appetite,depression,difficulty walking,blackleg
goat,loss of appetite,depression,painless lumps,pneumonia
sheep,loss of appetite,lameness,sores on gums,foot and mouth
cow,crackling sound,loss of appetite,difficulty walking,blackleg
sheep,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
buffalo,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
cow,crackling sound,depression,difficulty walking,blackleg
sheep,loss of appetite,blisters on tongue,lameness,foot and mouth
buffalo,chills,sweats,fatigue,anthrax
sheep,difficulty walking,loss of appetite,sores on mouth,foot and mouth
sheep,crackling sound,depression,swelling in limb,blackleg
buffalo,lameness,sores on gums,loss of appetite,foot and mouth
sheep,loss of appetite,swelling in limb,crackling sound,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
buffalo,lameness,loss of appetite,blisters on hooves,foot and mouth
goat,painless lumps,loss of appetite,depression,pneumonia
goat,painless lumps,depression,loss of appetite,pneumonia
buffalo,loss of appetite,painless lumps,depression,pneumonia
goat,loss of appetite,depression,swelling in muscle,blackleg
cow,crackling sound,lameness,swelling in limb,blackleg
sheep,depression,loss of appetite,painless lumps,pneumonia
cow,loss of appetite,depression,painless lumps,pneumonia
sheep,depression,loss of appetite,painless lumps,lumpy virus
sheep,painless lumps,depression,loss of appetite,pneumonia
buffalo,depression,swelling in limb,loss of appetite,blackleg
sheep,loss of appetite,depression,painless lumps,pneumonia
sheep,fatigue,swelling in abdomen,sweats,anthrax
cow,loss of appetite,painless lumps,depression,pneumonia
cow,loss of appetite,depression,lameness,blackleg
sheep,shortness of breath,chills,sweats,anthrax
goat,loss of appetite,sores on hooves,lameness,foot and mouth
goat,swelling in muscle,depression,loss of appetite,blackleg
cow,swelling in limb,loss of appetite,crackling sound,blackleg
buffalo,depression,loss of appetite,painless lumps,pneumonia
cow,painless lumps,depression,loss of appetite,pneumonia
sheep,loss of appetite,difficulty walking,depression,blackleg
buffalo,depression,loss of appetite,painless lumps,lumpy virus
cow,swelling in muscle,crackling sound,loss of appetite,blackleg
sheep,painless lumps,loss of appetite,depression,pneumonia
cow,loss of appetite,depression,painless lumps,pneumonia
cow,lameness,sores on hooves,loss of appetite,foot and mouth
cow,loss of appetite,painless lumps,depression,pneumonia
goat,loss of appetite,crackling sound,depression,blackleg
sheep,shortness of breath,swelling in neck,sweats,anthrax
goat,fatigue,chills,shortness of breath,anthrax
cow,depression,difficulty walking,crackling sound,blackleg
sheep,fatigue,sweats,chest discomfort,anthrax
cow,crackling sound,swelling in limb,loss of appetite,blackleg
sheep,loss of appetite,difficulty walking,sores on tongue,foot and mouth
buffalo,loss of appetite,painless lumps,depression,pneumonia
buffalo,crackling sound,swelling in limb,loss of appetite,blackleg
goat,shortness of breath,fatigue,swelling in abdomen,anthrax
goat,difficulty walking,loss of appetite,sores on gums,foot and mouth
goat,crackling sound,lameness,depression,blackleg
goat,loss of appetite,sores on tongue,difficulty walking,foot and mouth
cow,loss of appetite,painless lumps,depression,lumpy virus
buffalo,depression,loss of appetite,painless lumps,lumpy virus
sheep,depression,loss of appetite,painless lumps,lumpy virus
cow,loss of appetite,painless lumps,depression,pneumonia
buffalo,chills,swelling in abdomen,shortness of breath,anthrax
cow,depression,painless lumps,loss of appetite,lumpy virus
cow,difficulty walking,loss of appetite,blisters on gums,foot and mouth
cow,swelling in extremities,fatigue,chest discomfort,anthrax
buffalo,loss of appetite,sores on tongue,difficulty walking,foot and mouth
goat,shortness of breath,fatigue,sweats,anthrax
sheep,crackling sound,difficulty walking,loss of appetite,blackleg
buffalo,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
goat,depression,swelling in muscle,difficulty walking,blackleg
buffalo,loss of appetite,depression,painless lumps,pneumonia
goat,swelling in limb,loss of appetite,depression,blackleg
goat,sores on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,loss of appetite,difficulty walking,depression,blackleg
sheep,painless lumps,loss of appetite,depression,pneumonia
cow,loss of appetite,depression,painless lumps,lumpy virus
sheep,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
cow,sweats,chills,chest discomfort,anthrax
buffalo,loss of appetite,depression,painless lumps,pneumonia
goat,depression,loss of appetite,painless lumps,pneumonia
sheep,painless lumps,depression,loss of appetite,pneumonia
goat,depression,painless lumps,loss of appetite,lumpy virus
cow,crackling sound,depression,difficulty walking,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
cow,painless lumps,depression,loss of appetite,pneumonia
goat,loss of appetite,painless lumps,depression,lumpy virus
cow,loss of appetite,depression,painless lumps,pneumonia
cow,depression,loss of appetite,painless lumps,lumpy virus
sheep,fatigue,sweats,chest discomfort,anthrax
sheep,depression,crackling sound,loss of appetite,blackleg
sheep,depression,loss of appetite,painless lumps,lumpy virus
sheep,fatigue,shortness of breath,swelling in abdomen,anthrax
sheep,chest discomfort,fatigue,shortness of breath,anthrax
sheep,loss of appetite,sores on mouth,lameness,foot and mouth
goat,depression,swelling in muscle,crackling sound,blackleg
sheep,chills,fatigue,sweats,anthrax
sheep,depression,painless lumps,loss of appetite,lumpy virus
sheep,depression,painless lumps,loss of appetite,lumpy virus
goat,loss of appetite,painless lumps,depression,lumpy virus
cow,fatigue,chest discomfort,shortness of breath,anthrax
buffalo,swelling in neck,shortness of breath,fatigue,anthrax
buffalo,loss of appetite,painless lumps,depression,pneumonia
buffalo,loss of appetite,crackling sound,swelling in muscle,blackleg
sheep,swelling in abdomen,chest discomfort,sweats,anthrax
buffalo,loss of appetite,lameness,blisters on hooves,foot and mouth
buffalo,difficulty walking,loss of appetite,sores on hooves,foot and mouth
cow,depression,loss of appetite,painless lumps,pneumonia
sheep,depression,crackling sound,loss of appetite,blackleg
buffalo,shortness of breath,chest discomfort,fatigue,anthrax
buffalo,loss of appetite,sores on tongue,difficulty walking,foot and mouth
cow,sores on tongue,lameness,loss of appetite,foot and mouth
sheep,sores on gums,lameness,loss of appetite,foot and mouth
goat,loss of appetite,painless lumps,depression,pneumonia
cow,swelling in neck,sweats,shortness of breath,anthrax
sheep,depression,painless lumps,loss of appetite,pneumonia
sheep,crackling sound,loss of appetite,difficulty walking,blackleg
sheep,loss of appetite,painless lumps,depression,lumpy virus
goat,loss of appetite,depression,painless lumps,pneumonia
cow,loss of appetite,sores on gums,difficulty walking,foot and mouth
cow,swelling in abdomen,shortness of breath,sweats,anthrax
goat,crackling sound,lameness,loss of appetite,blackleg
buffalo,sores on tongue,loss of appetite,difficulty walking,foot and mouth
sheep,chest discomfort,swelling in abdomen,shortness of breath,anthrax
sheep,painless lumps,loss of appetite,depression,lumpy virus
cow,chest discomfort,sweats,fatigue,anthrax
sheep,loss of appetite,painless lumps,depression,pneumonia
